Empresa;Planta/Tipo;Cidade;País;Latitude;Longitude
TSMC;Fab 12 (Sede e R&D);Hsinchu;Taiwan;24.7742;121.0143
TSMC;Fab 18 (Principal Avançada 3nm/5nm);Tainan;Taiwan;23.1118;120.2741
TSMC;Fab 21 (Nova Expansão);Phoenix, Arizona;EUA;33.7915;-112.1154
UMC;Fab 12A;Tainan;Taiwan;23.0031;120.2289
GlobalFoundries;Fab 8;Malta, Nova York;EUA;42.9715;-73.7431
Intel;Ronler Acres (D1X R&D);Hillsboro, Oregon;EUA;45.5412;-122.9031
Samsung;Pyeongtaek Campus (Maior do Mundo);Pyeongtaek;Coreia do Sul;37.0185;127.0544
STMicroelectronics;Crolles Fab;Crolles;França;45.2751;5.8791
Renesas;Naka Factory (Chips Automotivos);Hitachinaka;Japão;36.3981;140.5342
IBM;Albany NanoTech Complex (Apenas R&D);Albany, Nova York;EUA;42.6865;-73.8081
SGS Microelettronica;Sede Histórica / Planta Original (Hoje ST);Agrate;Itália;45.5786;9.3582
NEC;Antiga Fab Yamagata (Hoje Renesas);Tsuruoka;Japão;38.7291;139.8135
